,January,February,March,April,May,June,July,August,September,October,November,December
0,AGUSTÍN CODAZZI_PREDIO,VALLEDUPAR_PREDIO,VALLEDUPAR_PREDIO,VALLEDUPAR_PREDIO,VALLEDUPAR_PREDIO,VALLEDUPAR_PREDIO,SAN MARTÍN_PREDIO,SAN ALBERTO_PREDIO,VALLEDUPAR_PREDIO,VALLEDUPAR_PREDIO,CURUMANÍ_PREDIO,VALLEDUPAR_PREDIO
1,CURUMANÍ_PREDIO,PAILITAS_PREDIO,PAILITAS_PREDIO,SAN MARTÍN_PREDIO,SAN MARTÍN_PREDIO,AGUSTÍN CODAZZI_PREDIO,VALLEDUPAR_PREDIO,VALLEDUPAR_PREDIO,BOSCONIA_PREDIO,SAN MARTÍN_PREDIO,PAILITAS_PREDIO,TAMALAMEQUE_PREDIO
2,PAILITAS_PREDIO,SAN DIEGO_PREDIO,BECERRIL_PREDIO,AGUACHICA_PREDIO,SAN ALBERTO_PREDIO,SAN ALBERTO_PREDIO,PAILITAS_PREDIO,SAN DIEGO_PREDIO,SAN DIEGO_PREDIO,CHIMICHAGUA_PREDIO,CHIMICHAGUA_PREDIO,PELAYA_PREDIO
3,BOSCONIA_PREDIO,BECERRIL_PREDIO,LA PAZ_PREDIO,CHIMICHAGUA_PREDIO,SAN DIEGO_PREDIO,CURUMANÍ_PREDIO,LA GLORIA_PREDIO,TAMALAMEQUE_PREDIO,PAILITAS_PREDIO,PELAYA_PREDIO,VALLEDUPAR_PREDIO,SAN DIEGO_PREDIO
4,PELAYA_PREDIO,CHIMICHAGUA_PREDIO,AGUACHICA_PREDIO,CHIRIGUANÁ_PREDIO,CHIRIGUANÁ_PREDIO,BECERRIL_PREDIO,CURUMANÍ_PREDIO,CURUMANÍ_PREDIO,CURUMANÍ_PREDIO,CURUMANÍ_PREDIO,BECERRIL_PREDIO,SAN MARTÍN_PREDIO
5,AGUACHICA_PREDIO,SAN MARTÍN_PREDIO,AGUSTÍN CODAZZI_PREDIO,LA GLORIA_PREDIO,PELAYA_PREDIO,LA GLORIA_PREDIO,PELAYA_PREDIO,EL PASO_PREDIO,EL PASO_PREDIO,TAMALAMEQUE_PREDIO,SAN DIEGO_PREDIO,CURUMANÍ_PREDIO
6,SAN DIEGO_PREDIO,AGUACHICA_PREDIO,CURUMANÍ_PREDIO,SAN DIEGO_PREDIO,CHIMICHAGUA_PREDIO,PELAYA_PREDIO,AGUACHICA_PREDIO,PAILITAS_PREDIO,LA GLORIA_PREDIO,PAILITAS_PREDIO,EL PASO_PREDIO,AGUACHICA_PREDIO
7,LA GLORIA_PREDIO,CURUMANÍ_PREDIO,SAN DIEGO_PREDIO,PAILITAS_PREDIO,AGUSTÍN CODAZZI_PREDIO,EL PASO_PREDIO,AGUSTÍN CODAZZI_PREDIO,VALLEDUPAR_CONCENTRACION GANADERA,GAMARRA_PREDIO,LA PAZ_PREDIO,LA PAZ_PREDIO,ASTREA_PREDIO
8,CHIMICHAGUA_PREDIO,GAMARRA_PREDIO,RÍO DE ORO_PREDIO,EL COPEY_PREDIO,RÍO DE ORO_PREDIO,SAN MARTÍN_PREDIO,TAMALAMEQUE_PREDIO,AGUSTÍN CODAZZI_PREDIO,CHIMICHAGUA_PREDIO,CHIRIGUANÁ_PREDIO,PELAYA_PREDIO,BOSCONIA_PREDIO
9,EL PASO_PREDIO,AGUSTÍN CODAZZI_PREDIO,PELAYA_PREDIO,AGUSTÍN CODAZZI_PREDIO,BECERRIL_PREDIO,PAILITAS_PREDIO,EL PASO_PREDIO,LA PAZ_PREDIO,TAMALAMEQUE_PREDIO,EL PASO_PREDIO,CHIRIGUANÁ_PREDIO,EL COPEY_PREDIO
